City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hours),Snow inches (last 3 hours)
200,Ancud,CL,11/4/2019 8:03,-41.87,-73.83,42.8,93,40,6.93,scattered clouds,0,0
201,Komsomolskiy,RU,11/4/2019 8:03,67.55,63.78,10.18,81,100,17.49,overcast clouds,0,0
202,Kuruman,ZA,11/4/2019 8:03,-27.46,23.43,93,12,0,1.01,clear sky,0,0
203,Akranes,IS,11/4/2019 8:03,64.32,-22.07,37.4,100,90,16.11,light intensity drizzle,0,0
204,Husavik,CA,11/4/2019 8:03,50.56,-96.99,26.01,97,83,5.01,broken clouds,0,0
205,Palmer,AU,11/4/2019 8:03,-34.85,139.16,62.01,55,40,10.29,scattered clouds,0,0
206,Kruisfontein,ZA,11/4/2019 8:03,-34,24.73,70.99,42,0,10.09,clear sky,0,0
207,Clovis,US,11/4/2019 8:03,36.83,-119.7,59,16,1,3.36,clear sky,0,0
208,Ponta Delgada,PT,11/4/2019 8:03,37.73,-25.67,64.4,82,40,2.24,scattered clouds,0,0
209,San Cristobal,HN,11/4/2019 8:03,14.68,-86.92,63.32,98,80,3.04,broken clouds,0,0
210,Hatillo,PR,11/4/2019 8:03,18.49,-66.83,73.99,88,1,3.36,clear sky,0,0
211,Tondano,ID,11/4/2019 8:03,1.3,124.91,86,70,40,2.24,scattered clouds,0,0
212,Madisonville,US,11/4/2019 8:03,37.33,-87.5,41,80,1,6.98,clear sky,0,0
213,San Juan,AR,11/4/2019 8:03,-31.54,-68.53,65.7,58,0,6.46,clear sky,0,0
214,Tiarei,PF,11/4/2019 8:03,-17.53,-149.33,78.8,83,75,3.36,light rain,0,0
215,Cockburn Town,TC,11/4/2019 8:03,21.46,-71.14,81.01,72,0,12.01,light rain,0.31,0
216,Zemio,CF,11/4/2019 8:03,5.02,25.13,81.73,76,13,4.7,light rain,2.69,0
217,Canico,PT,11/4/2019 8:03,32.63,-16.85,69.8,72,40,3.36,scattered clouds,0,0
218,Mongu,ZM,11/4/2019 8:03,-15.27,23.14,98.33,16,58,10.69,broken clouds,0,0
219,Carmen,PH,11/4/2019 8:03,7.36,125.71,87.8,66,75,6.93,broken clouds,0,0
220,Marzuq,YE,11/4/2019 8:03,14.4,46.47,85.62,21,17,13.13,few clouds,0,0
221,Arti,RU,11/4/2019 8:03,56.43,58.53,28.27,78,100,14.97,overcast clouds,0,0
222,Vila Praia De Ancora,PT,11/4/2019 8:03,41.81,-8.85,63,87,75,6.93,broken clouds,0,0
